url,comments,created_at,updated_at,active_time,closed_at,commits,additions,deletions,changed_files,merged,closed,open,commits_not_bot,commit_prepro,negativeCommit,neutralCommit,positiveCommit,compoundCommit,,,compound_overall
https://api.github.com/repos/ShizukuIchi/winXP/pulls/100,2,2021-07-24T18:25:10Z,2021-09-30T14:59:40Z,5862870,,1,3,3,1,0,0,1,"Avoid lawsuits by mentioning cookies thing.

",avoid lawsuit mentioning cooky thing,0.577,0.423,0,-0.4767,,,
https://api.github.com/repos/sgmelayu/GDPR-Transparency-and-Consent-Framework/pulls/30,1,2020-10-31T01:36:22Z,2020-10-31T01:37:11Z,49,,1,5,4,2,0,0,1,"fix: reference/package.json & reference/yarn.lock to reduce vulnerabilities

The following vulnerabilities are fixed with an upgrade:
- https://snyk.io/vuln/SNYK-JS-CODEMIRROR-1016937

",fix referenceyarnlock reduce vulnerability following vulnerability fixed upgrade,0.388,0.612,0,-0.4215,,,
https://api.github.com/repos/sgmelayu/GDPR-Transparency-and-Consent-Framework/pulls/21,1,2020-08-28T01:36:21Z,2020-08-28T01:37:00Z,39,,1,6,1,2,0,0,1,"fix: reference/package.json & reference/yarn.lock to reduce vulnerabilities

The following vulnerabilities are fixed with an upgrade:
- https://snyk.io/vuln/SNYK-JS-LODASH-608086

",fix referenceyarnlock reduce vulnerability following vulnerability fixed upgrade,0.388,0.612,0,-0.4215,,,
https://api.github.com/repos/sgmelayu/GDPR-Transparency-and-Consent-Framework/pulls/19,1,2020-08-17T01:36:38Z,2020-08-17T01:37:24Z,46,,1,6,1,2,0,0,1,"fix: reference/package.json & reference/yarn.lock to reduce vulnerabilities

The following vulnerabilities are fixed with an upgrade:
- https://snyk.io/vuln/SNYK-JS-LODASH-590103

",fix referenceyarnlock reduce vulnerability following vulnerability fixed upgrade,0.388,0.612,0,-0.4215,,,
https://api.github.com/repos/sgmelayu/GDPR-Transparency-and-Consent-Framework/pulls/70,1,2021-11-04T19:16:05Z,2021-11-04T19:16:52Z,47,,1,267,102,2,0,0,1,"fix: reference/package.json & reference/yarn.lock to reduce vulnerabilities

The following vulnerabilities are fixed with an upgrade:
- https://snyk.io/vuln/SNYK-JS-ANSIREGEX-1583908

",fix referenceyarnlock reduce vulnerability following vulnerability fixed upgrade,0.388,0.612,0,-0.4215,,,
https://api.github.com/repos/sgmelayu/GDPR-Transparency-and-Consent-Framework/pulls/59,1,2021-06-08T21:12:19Z,2021-06-08T21:13:24Z,65,,1,150,73,2,0,0,1,"fix: reference/package.json & reference/yarn.lock to reduce vulnerabilities

The following vulnerabilities are fixed with an upgrade:
- https://snyk.io/vuln/SNYK-JS-AJV-584908

",fix referenceyarnlock reduce vulnerability following vulnerability fixed upgrade,0.388,0.612,0,-0.4215,,,
https://api.github.com/repos/sgmelayu/GDPR-Transparency-and-Consent-Framework/pulls/36,1,2021-02-23T01:36:21Z,2021-02-23T01:37:16Z,55,,1,6,1,2,0,0,1,"fix: reference/package.json & reference/yarn.lock to reduce vulnerabilities

The following vulnerabilities are fixed with an upgrade:
- https://snyk.io/vuln/SNYK-JS-LODASH-1018905
- https://snyk.io/vuln/SNYK-JS-LODASH-1040724

",fix referenceyarnlock reduce vulnerability following vulnerability fixed upgrade,0.388,0.612,0,-0.4215,,,
https://api.github.com/repos/brianc/node-postgres/pulls/1788,7,2018-12-12T16:28:53Z,2021-06-04T14:55:45Z,78186412,,3,84,18,9,0,0,1,"Include raw SQL statement and values in query errors (#881)

Configurable inclusion of SQL statement in errors

Explicitly test exclusion of `values` from query errors

",include raw sql statement value query error configurable inclusion sql statement error explicitly test exclusion value query error,0.38,0.443,0.177,-0.6705,,,
https://api.github.com/repos/triggerfast/shuup/pulls/3,0,2020-04-30T21:29:06Z,2020-04-30T21:29:06Z,0,,2,309,3,2,0,0,1,"fix: shuup/gdpr/package.json & shuup/gdpr/.snyk to reduce vulnerabilities


The following vulnerabilities are fixed with a Snyk patch:
- https://snyk.io/vuln/SNYK-JS-LODASH-567746

fix: shuup/gdpr/package.json & shuup/gdpr/.snyk to reduce vulnerabilities


The following vulnerabilities are fixed with a Snyk patch:
- https://snyk.io/vuln/SNYK-JS-LODASH-567746

",fix shuupgdprsnyk reduce vulnerability following vulnerability fixed snyk patch fix shuupgdprsnyk reduce vulnerability following vulnerability fixed snyk patch,0.352,0.648,0,-0.6808,,,
https://api.github.com/repos/ExpansiveWorlds/instrumentedsql/pulls/11,4,2018-04-28T00:57:01Z,2019-02-11T05:19:15Z,24985334,,1,6,13,1,0,0,1,"neither label nor log parameterized query arguments

Remove all the labels and logs that surface parameterized query
arguments, because doing so severely impacts performance due to the use
of github.com/kr/pretty and because parameterized query arguments often
contain sensitive data.

",neither label log parameterized query argument remove label log surface parameterized query argument severely impact performance due use githubcomkrpretty parameterized query argument often contain sensitive data,0.323,0.677,0,-0.8591,,,
